service_name,category,label,tc_count,ratio
1.가입,로그인,로그인 완료,71,0.2399
1.가입,특정_계정,특정 계정 필요,5,0.0169
1.가입,회원가입,회원가입 완료,6,0.0203
1.가입,친구_존재,친구 존재,1,0.0034
1.가입,채팅방_존재,채팅방 생성 완료,1,0.0034
1.가입,사진_존재,사진/이미지 존재,14,0.0473
1.가입,권한_허용,권한 허용,29,0.098
1.가입,알림_허용,알림 허용,5,0.0169
1.가입,특정_OS,특정 OS 필요,2,0.0068
1.가입,설정_변경,특정 설정 상태,8,0.027
1.가입,멀티디바이스,멀티디바이스 환경,8,0.027
1.가입,채팅내역_존재,채팅 내역 존재,3,0.0101
1.가입,백업_존재,백업 데이터 존재,33,0.1115
1.가입,구독_상태,구독/결제 완료,1,0.0034
1.가입,기타,기타 사전조건,119,0.402
2.친구,로그인,로그인 완료,1,0.0089
2.친구,친구_존재,친구 존재,56,0.5
2.친구,채팅방_존재,채팅방 생성 완료,8,0.0714
2.친구,사진_존재,사진/이미지 존재,13,0.1161
2.친구,동영상_존재,동영상 존재,7,0.0625
2.친구,권한_허용,권한 허용,5,0.0446
2.친구,알림_허용,알림 허용,10,0.0893
2.친구,특정_OS,특정 OS 필요,1,0.0089
2.친구,설정_변경,특정 설정 상태,5,0.0446
2.친구,검색결과_존재,검색 결과 존재,6,0.0536
2.친구,관리자_권한,관리자 권한,4,0.0357
2.친구,기타,기타 사전조건,4,0.0357
3.프로필,회원가입,회원가입 완료,1,0.0088
3.프로필,친구_존재,친구 존재,29,0.2544
3.프로필,채팅방_존재,채팅방 생성 완료,5,0.0439
3.프로필,사진_존재,사진/이미지 존재,33,0.2895
3.프로필,동영상_존재,동영상 존재,25,0.2193
3.프로필,특정_OS,특정 OS 필요,1,0.0088
3.프로필,백업_존재,백업 데이터 존재,1,0.0088
3.프로필,검색결과_존재,검색 결과 존재,5,0.0439
3.프로필,관리자_권한,관리자 권한,1,0.0088
3.프로필,기타,기타 사전조건,10,0.0877
4.채팅목록,로그인,로그인 완료,1,0.0135
4.채팅목록,친구_존재,친구 존재,1,0.0135
4.채팅목록,채팅방_존재,채팅방 생성 완료,67,0.9054
4.채팅목록,사진_존재,사진/이미지 존재,8,0.1081
4.채팅목록,알림_허용,알림 허용,1,0.0135
4.채팅목록,특정_OS,특정 OS 필요,1,0.0135
4.채팅목록,설정_변경,특정 설정 상태,3,0.0405
4.채팅목록,기타,기타 사전조건,1,0.0135
5.일반채팅,로그인,로그인 완료,9,0.0152
5.일반채팅,친구_존재,친구 존재,29,0.0488
5.일반채팅,채팅방_존재,채팅방 생성 완료,314,0.5286
5.일반채팅,사진_존재,사진/이미지 존재,165,0.2778
5.일반채팅,동영상_존재,동영상 존재,57,0.096
5.일반채팅,파일_존재,파일 존재,23,0.0387
5.일반채팅,권한_허용,권한 허용,3,0.0051
5.일반채팅,알림_허용,알림 허용,4,0.0067
5.일반채팅,특정_OS,특정 OS 필요,16,0.0269
5.일반채팅,설정_변경,특정 설정 상태,41,0.069
5.일반채팅,채팅내역_존재,채팅 내역 존재,1,0.0017
5.일반채팅,백업_존재,백업 데이터 존재,32,0.0539
5.일반채팅,구독_상태,구독/결제 완료,10,0.0168
5.일반채팅,검색결과_존재,검색 결과 존재,12,0.0202
5.일반채팅,네트워크_연결,네트워크 연결,29,0.0488
5.일반채팅,관리자_권한,관리자 권한,1,0.0017
5.일반채팅,기타,기타 사전조건,89,0.1498
6.비밀채팅,친구_존재,친구 존재,7,0.0921
6.비밀채팅,채팅방_존재,채팅방 생성 완료,48,0.6316
6.비밀채팅,사진_존재,사진/이미지 존재,20,0.2632
6.비밀채팅,동영상_존재,동영상 존재,1,0.0132
6.비밀채팅,알림_허용,알림 허용,12,0.1579
6.비밀채팅,설정_변경,특정 설정 상태,3,0.0395
6.비밀채팅,기타,기타 사전조건,2,0.0263
7.팀채팅_채팅방,로그인,로그인 완료,6,0.0125
7.팀채팅_채팅방,친구_존재,친구 존재,9,0.0188
7.팀채팅_채팅방,채팅방_존재,채팅방 생성 완료,410,0.8559
7.팀채팅_채팅방,사진_존재,사진/이미지 존재,67,0.1399
7.팀채팅_채팅방,동영상_존재,동영상 존재,38,0.0793
7.팀채팅_채팅방,파일_존재,파일 존재,1,0.0021
7.팀채팅_채팅방,권한_허용,권한 허용,1,0.0021
7.팀채팅_채팅방,알림_허용,알림 허용,2,0.0042
7.팀채팅_채팅방,특정_OS,특정 OS 필요,6,0.0125
7.팀채팅_채팅방,설정_변경,특정 설정 상태,65,0.1357
7.팀채팅_채팅방,채팅내역_존재,채팅 내역 존재,52,0.1086
7.팀채팅_채팅방,백업_존재,백업 데이터 존재,180,0.3758
7.팀채팅_채팅방,구독_상태,구독/결제 완료,29,0.0605
7.팀채팅_채팅방,검색결과_존재,검색 결과 존재,9,0.0188
7.팀채팅_채팅방,네트워크_연결,네트워크 연결,20,0.0418
7.팀채팅_채팅방,관리자_권한,관리자 권한,11,0.023
7.팀채팅_채팅방,기타,기타 사전조건,12,0.0251
8.팀채팅_홈상세,채팅방_존재,채팅방 생성 완료,95,0.6738
8.팀채팅_홈상세,사진_존재,사진/이미지 존재,46,0.3262
8.팀채팅_홈상세,동영상_존재,동영상 존재,43,0.305
8.팀채팅_홈상세,파일_존재,파일 존재,4,0.0284
8.팀채팅_홈상세,특정_OS,특정 OS 필요,2,0.0142
8.팀채팅_홈상세,설정_변경,특정 설정 상태,24,0.1702
8.팀채팅_홈상세,멀티디바이스,멀티디바이스 환경,2,0.0142
8.팀채팅_홈상세,채팅내역_존재,채팅 내역 존재,21,0.1489
8.팀채팅_홈상세,백업_존재,백업 데이터 존재,4,0.0284
8.팀채팅_홈상세,검색결과_존재,검색 결과 존재,4,0.0284
8.팀채팅_홈상세,네트워크_연결,네트워크 연결,4,0.0284
8.팀채팅_홈상세,기타,기타 사전조건,13,0.0922
9.숏폼,친구_존재,친구 존재,2,0.025
9.숏폼,채팅방_존재,채팅방 생성 완료,6,0.075
9.숏폼,사진_존재,사진/이미지 존재,5,0.0625
9.숏폼,동영상_존재,동영상 존재,4,0.05
9.숏폼,설정_변경,특정 설정 상태,1,0.0125
9.숏폼,멀티디바이스,멀티디바이스 환경,1,0.0125
9.숏폼,구독_상태,구독/결제 완료,6,0.075
